series_id,baseline_rmsse,global_rmsse,tft_rmsse,tft_vs_global_gain,best_model,tft_beats_global
FOODS_2_326_TX_2,1.1549586515326191,0.7900941701973604,0.7519126983914388,0.038181471805921574,TFT,True
FOODS_2_326_WI_2,1.6752931906719002,1.1013643781306557,1.0076029560163957,0.09376142211425997,TFT,True
FOODS_2_326_WI_3,1.388736930414129,0.7366074568215216,0.7861659118638282,-0.049558455042306604,Global,False
FOODS_2_347_CA_1,1.0837527626368473,0.6719303630258782,0.6218572276529681,0.05007313537291003,TFT,True
FOODS_2_347_CA_3,1.0227429683956626,0.5809464534151052,0.6111938078121166,-0.030247354397011428,Global,False
FOODS_2_360_CA_1,0.7650526806497387,0.3496244937905198,0.3976407931548144,-0.04801629936429458,Global,False
FOODS_2_360_CA_3,0.8086681393292482,0.4666353898771851,0.3376538067714926,0.12898158310569252,TFT,True
FOODS_2_360_TX_2,1.1660948003504974,0.4728138660957132,0.6291028894481528,-0.15628902335243966,Global,False
FOODS_2_360_TX_3,1.339061661321665,0.5357615196221315,0.5324215330478875,0.003339986574243947,TFT,True
FOODS_2_360_WI_1,1.4644808556499431,0.5562933538314869,0.7380298376291939,-0.18173648379770702,Global,False
FOODS_2_360_WI_2,0.9026119283330908,2.855941218729977,0.5089133969195917,2.3470278218103853,TFT,True
FOODS_2_360_WI_3,0.9478776243328104,0.4690972405776451,0.6215455166022926,-0.1524482760246475,Global,False
FOODS_2_364_WI_2,1.464947380944843,0.5332557013908091,0.5964784462227335,-0.06322274483192436,Global,False
FOODS_2_398_WI_2,2.4379705557776417,1.1157170905019744,1.0398399672443366,0.07587712325763785,TFT,True
FOODS_3_007_CA_3,0.9599904578178718,0.3701801753469373,0.33302551175392037,0.037154663593016946,TFT,True
FOODS_3_007_TX_1,0.940770919182328,0.498220700330319,0.44772465815988705,0.050496042170431965,TFT,True
FOODS_3_007_TX_2,1.004508360318788,0.5381900803739497,0.5046648619336636,0.03352521844028611,TFT,True
FOODS_3_007_WI_2,1.38410056886334,1.7119215731683226,0.7955113477237792,0.9164102254445434,TFT,True
FOODS_3_007_WI_3,1.245411043318379,0.8590545306196697,0.8774127686553213,-0.01835823803565151,Global,False
FOODS_3_030_CA_1,1.7210716269417412,0.6944670443262144,0.5165680510134911,0.1778989933127233,TFT,True
FOODS_3_030_TX_1,1.8345716762472783,0.4923688751983818,0.25130035138287543,0.24106852381550636,TFT,True
FOODS_3_030_TX_2,1.5276424014162548,0.4888727664845149,0.3068923214160404,0.1819804450684745,TFT,True
FOODS_3_030_TX_3,2.3869621498690456,0.5930983539749801,0.2467379614298885,0.34636039254509166,TFT,True
FOODS_3_042_WI_1,1.267488735208005,0.7975629734750734,0.8498438997670423,-0.0522809262919689,Global,False
FOODS_3_042_WI_3,1.2458875878044655,0.9126679200203546,0.806485395117685,0.10618252490266955,TFT,True
FOODS_3_064_CA_1,2.8617881843627204,1.0718967463841211,1.4175339490234695,-0.3456372026393484,Global,False
FOODS_3_070_WI_2,1.8563699212834115,2.0594427655734924,1.132039747692641,0.9274030178808514,TFT,True
FOODS_3_080_CA_1,0.8752156447565973,0.670900895944096,0.6866549480792783,-0.015754052135182328,Global,False
FOODS_3_080_CA_2,1.575384258906914,0.7514283129901868,0.7698087220841178,-0.018380409093931016,Global,False
FOODS_3_080_CA_3,1.0105391061839752,0.5968363698948389,0.6647396130876067,-0.06790324319276775,Global,False
FOODS_3_080_CA_4,1.4030442459276795,0.5317060063483142,0.6743343274634833,-0.1426283211151691,Global,False
FOODS_3_080_TX_1,1.1234404213988245,0.5787269093621447,0.6301490389404657,-0.05142212957832104,Global,False
FOODS_3_080_TX_2,1.2590668631828577,0.5872454068276834,0.6380683425572442,-0.05082293572956076,Global,False
FOODS_3_080_TX_3,1.2778856740111204,0.4698547684279915,0.5712502688900272,-0.10139550046203566,Global,False
FOODS_3_080_WI_1,1.2138350575181147,0.7109908970644322,0.7042049090939938,0.00678598797043839,TFT,True
FOODS_3_080_WI_3,1.474932224835095,0.6277185506417722,0.6163275931079324,0.011390957533839785,TFT,True
FOODS_3_086_CA_3,1.303307204508683,1.2871543408979902,1.3799427925567271,-0.09278845165873695,Global,False
FOODS_3_086_TX_3,2.3234417780309924,0.6853028063083635,0.6966370398912562,-0.011334233582892761,Global,False
FOODS_3_086_WI_3,2.1626924798543508,1.1673077156700995,1.139009584803674,0.02829813086642541,TFT,True
